t	10	1	t001	10400.00
t	10	2	t002	10400.00
t	10	3	t003	10400.00
t	10	4	t004	10400.00
t	10	5	t005	10400.00
t	10	6	t006	10400.00
t	10	7	t007	10400.00
t	10	8	t008	10400.00
t	10	9	t009	10400.00
t	10	10	t010	10400.00
t	35	1	t001	10400.00
t	35	2	t002	10400.00
t	35	3	t003	10400.00
t	35	4	t004	10400.00
t	35	5	t005	10400.00
t	35	6	t006	10400.00
t	35	7	t007	10400.00
t	35	8	t008	10400.00
t	35	9	t009	10400.00
t	35	10	t010	10400.00
t	35	11	t011	10400.00
t	35	12	t012	10400.00
t	35	13	t013	10400.00
t	35	14	t014	10400.00
t	35	15	t015	10400.00
t	35	16	t016	10400.00
t	35	17	t017	10400.00
t	35	18	t018	10400.00
t	35	19	t019	10400.00
t	35	20	t020	10400.00
t	35	21	t021	10400.00
t	35	22	t022	10400.00
t	35	23	t023	10400.00
t	35	24	t024	10400.00
t	35	25	t025	10400.00
t	35	26	t026	10400.00
t	35	27	t027	10400.00
t	35	28	t028	10400.00
t	35	29	t029	10400.00
t	35	30	t030	10400.00
t0	5	1	t001	10400.00
t0	5	2	t002	10400.00
t0	5	3	t003	10400.00
t0	5	4	t004	10400.00
t0	5	5	t005	10400.00
t030	2	1	t030	10400.00
p	5	1	p4444	10500.00
p	5	2	p333	10400.00
p	5	3	p22	10300.00
p	5	4	p1	10200.00
